ASV,taxonomy,RB1903_J2_1128_Sedna_18S_1L_Sterivex,RB1903_J2_1128_Sedna_18S_10L_Prefilter,RB1903_J2_1128_Darya_18S_1L_Sterivex,RB1903_J2_1130_Sedna_18S_1L_Sterivex,RB1903_J2_1131_Sedna_18S_1L_Sterivex,RB1903_J2_1131_Sedna_18S_10L_Prefilter,RB1903_J2_1131_Darya_18S_1L_Sterivex,RB1903_J2_1131_Darya_18S_10L_Prefilter,RB1903_J2_1133_Sedna_18S_1L_Sterivex,RB1903_J2_1133_Sedna_18S_10L_Prefilter,RB1903_J2_1133_Darya_18S_10L_Prefilter,RB1903_J2_1134_Sedna_18S_1L_Sterivex,RB1903_J2_1134_Sedna_18S_10L_Prefilter,RB1903_J2_1134_Darya_18S_1L_Sterivex,RB1903_J2_1134_Darya_18S_10L_Prefilter,RB1903_J2_1135_Sedna_18S_1L_Sterivex,RB1903_J2_1135_Darya_18S_1L_Sterivex,RB1903_J2_1135_Darya_18S_10L_Prefilter,RB1903_J2_1136_Sedna_18S_1L_Sterivex,RB1903_J2_1136_Sedna_18S_10L_Prefilter,RB1903_J2_1136_Darya_18S_1L_Sterivex,RB1903_J2_1136_Darya_18S_10L_Prefilter,RB1903_J2_1137_Sedna_18S_1L_Sterivex,RB1903_J2_1137_Sedna_18S_10L_Prefilter,RB1903_J2_1137_Darya_18S_10L_Prefilter,PCRBlankAA18S,Lab_extraction_ctl_18S_10L_Prefilter,RB1903_Postcruise_ctl_Sedna_18S_1L_Sterivex,RB1903_Postcruise_ctl_Sedna_18S_10L_Prefilter,RB1903_Postcruise_ctl_Darya_18S_1L_Sterivex,RB1903_Postcruise_ctl_Darya_18S_10L_Prefilter,RB1903_Precruise_ctl_Sedna_18S_1L_Sterivex,RB1903_Precruise_ctl_Sedna_18S_10L_Prefilter,RB1903_Precruise_ctl_Darya_18S_1L_Sterivex,RB1903_Precruise_ctl_Darya_18S_10L_Prefilter,Lab_extraction_ctl_18S_1L_Sterivex,RB1903_J2_1128_Darya_18S_10L_Prefilter,RB1903_J2_1130_Sedna_18S_10L_Prefilter,RB1903_J2_1133_Darya_18S_1L_Sterivex,RB1903_J2_1135_Sedna_18S_10L_Prefilter,RB1903_J2_1137_Darya_18S_1L_Sterivex,,
00014f3eda7109cf93207d3f2027cea0,d__Eukaryota; s__uncultured marine eukaryote,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0003af6daa727c29ab9112717b795180,d__Eukaryota; p__Foraminifera; g__Crithionina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,
0004c3569db7c741ffb93b2ee037c06d,d__Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,,
0005f72b73d81d18cc30bf0b48ad7dcf,d__Eukaryota; c__Polycystinea; o__Nassellaria; f__Pterocorythidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
0008767ab2475516062f8b072d0708f9,d__Eukaryota,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,
000ca9e45c52f319083cb857c8d53027,d__Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
000ff2cedbad7850498affba9a0ac613,d__Eukaryota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,,
00104fcfb97a86cb779000b7fff4477f,d__Archaea; s__uncultured archaeon,0,0,0,4,16,0,9,6,0,0,0,0,0,0,0,30,21,0,0,0,69,0,26,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,
0014478ec7a1374b184fde2e3ae7cae6,d__Eukaryota; k__Fungi; p__Basidiomycota; c__Agaricomycetes,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
00158b7bf2daea6fbaf4000388f3130c,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
