ASV,taxonomy,RB1903_J2_1128_Sedna_cox1_1L_Sterivex,RB1903_J2_1128_Sedna_cox1_10L_Prefilter,RB1903_J2_1128_Darya_cox1_1L_Sterivex,RB1903_J2_1128_Darya_cox1_10L_Prefilter,RB1903_J2_1130_Sedna_cox1_1L_Sterivex,RB1903_J2_1130_Sedna_cox1_10L_Prefilter,RB1903_J2_1131_Sedna_cox1_1L_Sterivex,RB1903_J2_1131_Sedna_cox1_10L_Prefilter,RB1903_J2_1131_Darya_cox1_1L_Sterivex,RB1903_J2_1131_Darya_cox1_10L_Prefilter,RB1903_J2_1133_Sedna_cox1_1L_Sterivex,RB1903_J2_1133_Sedna_cox1_10L_Prefilter,RB1903_J2_1133_Darya_cox1_1L_Sterivex,RB1903_J2_1133_Darya_cox1_10L_Prefilter,RB1903_J2_1134_Sedna_cox1_1L_Sterivex,RB1903_J2_1134_Sedna_cox1_10L_Prefilter,RB1903_J2_1134_Darya_cox1_1L_Sterivex,RB1903_J2_1134_Darya_cox1_10L_Prefilter,RB1903_J2_1135_Sedna_cox1_1L_Sterivex,RB1903_J2_1135_Sedna_cox1_10L_Prefilter,RB1903_J2_1135_Darya_cox1_1L_Sterivex,RB1903_J2_1135_Darya_cox1_10L_Prefilter,RB1903_J2_1136_Sedna_cox1_1L_Sterivex,RB1903_J2_1136_Sedna_cox1_10L_Prefilter,RB1903_J2_1136_Darya_cox1_1L_Sterivex,RB1903_J2_1136_Darya_cox1_10L_Prefilter,RB1903_J2_1137_Sedna_cox1_1L_Sterivex,RB1903_J2_1137_Sedna_cox1_10L_Prefilter,RB1903_J2_1137_Darya_cox1_1L_Sterivex,RB1903_J2_1137_Darya_cox1_10L_Prefilter,RB1903_Postcruise_ctl_Sedna_cox1_1L_Sterivex,RB1903_Postcruise_ctl_Sedna_cox1_10L_Prefilter,RB1903_Postcruise_ctl_Darya_cox1_1L_Sterivex,RB1903_Postcruise_ctl_Darya_cox1_10L_Prefilter,RB1903_Precruise_ctl_Sedna_cox1_1L_Sterivex,RB1903_Precruise_ctl_Sedna_cox1_10L_Prefilter,RB1903_Precruise_ctl_Darya_cox1_1L_Sterivex,RB1903_Precruise_ctl_Darya_cox1_10L_Prefilter,Lab_extraction_ctl_cox1_10L_Prefilter,Lab_extraction_ctl_cox1_1L_Sterivex
b3dff818f09e00944008ca67c3d8131b,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
a946a2575692544d638b1e88751888c2,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5196315355e6c3f0740edf93bd6e316d,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1fa27dd833d881a060017aa611e22243,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2de59c2393a72a40033a325af0d310a,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d89396af8894fa45e7db1457dd5dbaee,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa01cc71bd1a9b58ebd2fb9ad64c0bdd,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532f544ea2070893bdd598d743aee7d4,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d458b9fdab29c3740294e5392ec9b0f1,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0864385c4ee5586b75d6fa01383a4856,d__Unassigned,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdc275b2d6bf288c0bdc35bc5ee33e9e,d__Unassigned,0,0,0,0,0,0,0,0,0,0,5,194,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ee7b2fa78befa4db98a56fb08a8f3bb,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
7f38d642cb9aa7f12774814bd6e53e87,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,37,0,0,0,0,0,0,0,0,0,0,0,0
eb97a3d4f934b74ce7520d617f9d0c7b,d__Unassigned,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42e6aaf86a1f85de460004c57efe156f,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2f28f6a81dbe4c5b5644dbd087e6191,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8e1e22e4d1e6eed348fd505f83411b1,d__Unassigned,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c02b81b96f2723cfea04fbfd268e9b4e,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d78d17cf48ceb3544ece12cb93ea46f,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be1faf351b1f2cf1b2ef6973076f3c02,d__No_hits,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23020af6914c406f4ce903788995e827,d__Unassigned,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb3d86142570ca893e0c013a56a86e07,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,45,0,0,0,0,0,0,0,0,0,0
c871b926d6f644e44639340103ec8d6b,d__Unassigned,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2842f82b87957f1661deb6ca7ad3d40,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f4268e366c1fb03e61f09258fc96cc3,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4a6f56fd1a1c6e48750b7dd8fc2e6d1a,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fe375a8cd4962173355a5ea494582dc,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a4af9ea469c39cab6f18d06b4f9649b0,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b435f65f02b64289a85e2b0f3a32d0f8,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d53056d770d14e5dad9f2164ec56a470,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ecbc6cd775bd830b77ce261488a25f21,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98caedb9646562fe0fe82f3d14cd64fd,d__Eukaryota; k__Metazoa; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus mastigophorus,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79283e5e3719c7626e652fcd69644e40,d__Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1f80f13438e0a44fc76f99fbe1a911a3,d__Unassigned,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
